ITEM_NUM,AWARD_YEAR,ORIGIN_AIRPORT_ABBREV,DESTINATION_AIRPORT_ABBREV,ORIGIN_CITY_NAME,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREV,AWARDED_SERV,PAX_COUNT,YCA_FARE,_CA_FARE,BUSINESS_FARE,_CP_FARE,ORIGIN_AIRPORT_LOCATION,DESTINATION_AIRPORT_LOCATION,ORIGIN_CITY_STATE_AIRPORT,DESTINATION_CITY_STATE_AIRPORT,EFFECTIVE_DATE,EXPIRATION_DATE
1,2024,ABE,ATL,ALLENTOWN,PA,USA,ATLANTA,GA,USA,DL,N,290,582,291,0,0,ALLENTOWN,ATLANTA,ALLENTOWNPA-ABE,ATLANTAGA-ATL,10/1/23,9/30/24
2000,2024,ABE,AUS,ALLENTOWN,PA,USA,AUSTIN,TX,USA,UA,C,20,273,0,0,0,ALLENTOWN,AUSTIN,ALLENTOWNPA-ABE,AUSTINTX-AUS,10/1/23,9/30/24
2001,2024,ABE,BNA,ALLENTOWN,PA,USA,NASHVILLE,TN,USA,AA,C,42,323,117,0,0,ALLENTOWN,NASHVILLE,ALLENTOWNPA-ABE,NASHVILLETN-BNA,10/1/23,9/30/24
2002,2024,ABE,CAE,ALLENTOWN,PA,USA,COLUMBIA,SC,USA,DL,C,101,294,147,0,0,ALLENTOWN,COLUMBIA,ALLENTOWNPA-ABE,COLUMBIASC-CAE,10/1/23,9/30/24
2004,2024,ABE,DCA,ALLENTOWN,PA,USA,WASHINGTON,DC,USA,UA,C,41,61,0,0,0,ALLENTOWN,WASHINGTON,ALLENTOWNPA-ABE,WASHINGTONDC-DCA,10/1/23,9/30/24
2005,2024,ABE,DFW,ALLENTOWN,PA,USA,DALLAS,TX,USA,AA,C,60,356,124,0,0,ALLENTOWN,DALLAS,ALLENTOWNPA-ABE,DALLASTX-DFW,10/1/23,9/30/24
2006,2024,ABE,DSM,ALLENTOWN,PA,USA,DES MOINES,IA,USA,DL,C,20,239,120,0,0,ALLENTOWN,DES MOINES,ALLENTOWNPA-ABE,DES MOINESIA-DSM,10/1/23,9/30/24
2007,2024,ABE,DTW,ALLENTOWN,PA,USA,DETROIT,MI,USA,UA,C,112,205,0,0,0,ALLENTOWN,DETROIT,ALLENTOWNPA-ABE,DETROITMI-DTW,10/1/23,9/30/24
2009,2024,ABE,GPT,ALLENTOWN,PA,USA,GULFPORT,MS,USA,AA,C,20,392,147,0,0,ALLENTOWN,GULFPORT,ALLENTOWNPA-ABE,GULFPORTMS-GPT,10/1/23,9/30/24
2010,2024,ABE,GRK,ALLENTOWN,PA,USA,KILLEEN,TX,USA,AA,C,54,758,0,0,0,ALLENTOWN,KILLEEN,ALLENTOWNPA-ABE,KILLEENTX-GRK,10/1/23,9/30/24
2011,2024,ABE,HSV,ALLENTOWN,PA,USA,HUNTSVILLE,AL,USA,AA,C,60,298,118,0,0,ALLENTOWN,HUNTSVILLE,ALLENTOWNPA-ABE,HUNTSVILLEAL-HSV,10/1/23,9/30/24
2012,2024,ABE,JAX,ALLENTOWN,PA,USA,JACKSONVILLE,FL,USA,UA,C,23,135,0,0,0,ALLENTOWN,JACKSONVILLE,ALLENTOWNPA-ABE,JACKSONVILLEFL-JAX,10/1/23,9/30/24
2013,2024,ABE,LAS,ALLENTOWN,PA,USA,LAS VEGAS,NV,USA,DL,C,20,396,198,0,0,ALLENTOWN,LAS VEGAS,ALLENTOWNPA-ABE,LAS VEGASNV-LAS,10/1/23,9/30/24
2014,2024,ABE,LAX,ALLENTOWN,PA,USA,LOS ANGELES,CA,USA,DL,C,20,420,210,0,0,ALLENTOWN,LOS ANGELES,ALLENTOWNPA-ABE,LOS ANGELESCA-LAX,10/1/23,9/30/24
2016,2024,ABE,MCI,ALLENTOWN,PA,USA,KANSAS CITY,MO,USA,DL,C,24,251,126,0,0,ALLENTOWN,KANSAS CITY,ALLENTOWNPA-ABE,KANSAS CITYMO-MCI,10/1/23,9/30/24
2017,2024,ABE,MCO,ALLENTOWN,PA,USA,ORLANDO,FL,USA,AA,C,75,220,83,0,0,ALLENTOWN,ORLANDO,ALLENTOWNPA-ABE,ORLANDOFL-MCO,10/1/23,9/30/24
2018,2024,ABE,MSY,ALLENTOWN,PA,USA,NEW ORLEANS,LA,USA,AA,C,42,381,144,0,0,ALLENTOWN,NEW ORLEANS,ALLENTOWNPA-ABE,NEW ORLEANSLA-MSY,10/1/23,9/30/24
2019,2024,ABE,OKC,ALLENTOWN,PA,USA,OKLAHOMA CITY,OK,USA,UA,C,143,304,0,0,0,ALLENTOWN,OKLAHOMA CITY,ALLENTOWNPA-ABE,OKLAHOMA CITYOK-OKC,10/1/23,9/30/24
2020,2024,ABE,ONT,ALLENTOWN,PA,USA,ONTARIO,CA,USA,DL,C,26,414,207,0,0,ALLENTOWN,ONTARIO,ALLENTOWNPA-ABE,ONTARIOCA-ONT,10/1/23,9/30/24
2021,2024,ABE,ORD,ALLENTOWN,PA,USA,CHICAGO,IL,USA,UA,N,164,204,0,0,0,ALLENTOWN,CHICAGO,ALLENTOWNPA-ABE,CHICAGOIL-ORD,10/1/23,9/30/24
2022,2024,ABE,ORF,ALLENTOWN,PA,USA,NORFOLK,VA,USA,UA,C,51,262,0,0,0,ALLENTOWN,NORFOLK,ALLENTOWNPA-ABE,NORFOLKVA-ORF,10/1/23,9/30/24
2023,2024,ABE,PHX,ALLENTOWN,PA,USA,PHOENIX,AZ,USA,UA,C,37,215,0,0,0,ALLENTOWN,PHOENIX,ALLENTOWNPA-ABE,PHOENIXAZ-PHX,10/1/23,9/30/24
2024,2024,ABE,PSP,ALLENTOWN,PA,USA,PALM SPRINGS,CA,USA,UA,C,24,308,0,0,0,ALLENTOWN,PALM SPRINGS,ALLENTOWNPA-ABE,PALM SPRINGSCA-PSP,10/1/23,9/30/24
2025,2024,ABE,RIC,ALLENTOWN,PA,USA,RICHMOND,VA,USA,UA,C,45,292,0,0,0,ALLENTOWN,RICHMOND,ALLENTOWNPA-ABE,RICHMONDVA-RIC,10/1/23,9/30/24
2026,2024,ABE,SAN,ALLENTOWN,PA,USA,SAN DIEGO,CA,USA,AA,C,83,430,129,0,0,ALLENTOWN,SAN DIEGO,ALLENTOWNPA-ABE,SAN DIEGOCA-SAN,10/1/23,9/30/24
2027,2024,ABE,SAT,ALLENTOWN,PA,USA,SAN ANTONIO,TX,USA,UA,C,89,299,0,0,0,ALLENTOWN,SAN ANTONIO,ALLENTOWNPA-ABE,SAN ANTONIOTX-SAT,10/1/23,9/30/24
