City,State,Group,Lodging,Ground_Transport,Per_Diem
Boston,Massachusetts,1,250,55,65
Los Angeles,California,1,250,55,65
Miami,Florida,1,250,55,65
New York,New York,1,250,55,65
San Francisco,California,1,250,55,65
Washington DC,District of Columbia,1,250,55,65
Atlanta,Georgia,2,225,50,60
Baltimore,Maryland,2,225,50,60
Dallas,Texas,2,225,50,60
Philadelphia,Pennsylvania,2,225,50,60
San Jose,California,2,225,50,60
Seattle,Washington,2,225,50,60
White Plains,New York,2,225,50,60
Cleveland,Ohio,3,150,45,55
Denver,Colorado,3,150,45,55
Detroit,Michigan,3,150,45,55
Honolulu,Hawaii,3,150,45,55
Indianapolis,Indiana,3,150,45,55
Las Vegas,Nevada,3,150,45,55
Madison,Wisconsin,3,150,45,55
Memphis,Tennessee,3,150,45,55
New Orleans,Louisiana,3,150,45,55
Orlando,Florida,3,150,45,55
Phoenix,Arizona,3,150,45,55
Portland,Oregon,3,150,45,55
San Diego,California,3,150,45,55
St Louis,Missouri,3,150,45,55
Springfield,Illinois,3,150,45,55
Tampa,Florida,3,150,45,55
Columbus,Ohio,4,125,40,50
Hartford,Connecticut,4,125,40,50
Kansas City,Missouri,4,125,40,50
Louisville,Kentucky,4,125,40,50
Milwaukee,Wisconsin,4,125,40,50
Nashville,Tennessee,4,125,40,50
Pittsburgh,Pennsylvania,4,125,40,50
International,International,5,125,40,50
Other,Alabama,5,125,40,50
Other,Alaska,5,125,40,50
Other,Arizona,5,125,40,50
Other,Arkansas,5,125,40,50
Other,California,5,125,40,50
Other,Colorado,5,125,40,50
Other,Connecticut,5,125,40,50
Other,Delaware,5,125,40,50
Other,Florida,5,125,40,50
Other,Georgia,5,125,40,50
Other,Hawaii,5,125,40,50
Other,Idaho,5,125,40,50
Other,Illinois,5,125,40,50
Other,Indiana,5,125,40,50
Other,Iowa,5,125,40,50
Other,Kansas,5,125,40,50
Other,Kentucky,5,125,40,50
Other,Louisiana,5,125,40,50
Other,Maine,5,125,40,50
Other,Maryland,5,125,40,50
Other,Massachusetts,5,125,40,50
Other,Michigan,5,125,40,50
Other,Minnesota,5,125,40,50
Other,Mississippi,5,125,40,50
Other,Missouri,5,125,40,50
Other,Montana,5,125,40,50
Other,Nebraska,5,125,40,50
Other,Nevada,5,125,40,50
Other,New Hampshire,5,125,40,50
Other,New Jersey,5,125,40,50
Other,New Mexico,5,125,40,50
Other,New York,5,125,40,50
Other,North Carolina,5,125,40,50
Other,North Dakota,5,125,40,50
Other,Ohio,5,125,40,50
Other,Oklahoma,5,125,40,50
Other,Oregon,5,125,40,50
Other,Pennsylvania,5,125,40,50
Other,Rhode Island,5,125,40,50
Other,South Carolina,5,125,40,50
Other,South Dakota,5,125,40,50
Other,Tennessee,5,125,40,50
Other,Texas,5,125,40,50
Other,Utah,5,125,40,50
Other,Vermont,5,125,40,50
Other,Virginia,5,125,40,50
Other,Washington,5,125,40,50
Other,West Virginia,5,125,40,50
Other,Wisconsin,5,125,40,50
Other,Wyoming,5,125,40,50
